source_id	existence_outcome	metadata_match	evidence_level	claim_fitness_grade	venue_assessment	currency_assessment	coi_assessment	retraction_assessment	support_class	verified_locator	notes
P30-S11	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://muse.jhu.edu/article/949	Direct open-billiard Ruelle-operator support under explicit convexity and visibility hypotheses; hypotheses, normalization, coding, roof, and function space require exact matching.
P30-S12	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://iopscience.iop.org/article/10.1088/0951-7715/24/4/005	Conditional Axiom-A transfer spectral estimates; does not automatically apply to every open billiard or choose Paper 30 cutoffs.
P30-S13	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://link.springer.com/article/10.1007/BF01403069	Supports periodic-zeta and transfer identities in stated systems; algebraic consistency is roof-agnostic and not physical-specificity evidence.
P30-S14	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://pmihes.centre-mersenne.org/articles/10.1007/BF02699133/	Supports Fredholm-type dynamical determinant machinery under stated hypotheses; cannot establish the unconstructed project operator's nuclearity or physical specificity.
P30-S15	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://link.springer.com/article/10.1007/BF01388795	Supports generalized zeta meromorphic continuation in an Axiom-A setting; no pointwise three-disk roof or legal coefficient comparison.
P30-S16	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://projecteuclid.org/journals/communications-in-mathematical-physics/volume-174/issue-1/Meromorphic-zeta-functions-for-analytic-flows/cmp/1104275099.full	Supports meromorphic zeta machinery for real-analytic flows and isolated compact hyperbolic sets; analytic and model hypotheses plus the four-error interface remain unproved.
P30-S17	VERIFIED	EXACT_CORRECTION_BOUND	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://annals.math.princeton.edu/2013/178-2/p06	Meromorphicity first part is reported unaffected; affected Section-7 maximal-entropy spectral-gap use must be bound to P30-S18; no direct three-disk theorem.
P30-S18	VERIFIED	EXACT_FIRST_PARTY_ERRATUM	VI	B	FIRST_PARTY_ARXIV_ERRATUM_NOT_PEER_REVIEWED	CURRENT_2021_2026	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://arxiv.org/abs/2203.04917	Mandatory correction boundary for P30-S17; fixes the affected spectral-gap part and says meromorphicity is unaffected; adds no physical-roof evidence.
P30-S19	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://link.springer.com/article/10.1007/s00220-007-0355-7	Supports explicit transfer-operator eigenvalue bounds on eligible spaces; constants and operator hypotheses must be instantiated before project use.
P30-S20	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://www.sciencedirect.com/science/article/pii/S0001870808000492	Supports explicit eigenvalue estimates on holomorphic and Bergman spaces; no proof the three-disk operator or chosen basis meets those hypotheses.
P30-S21	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	METHOD_FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://link.springer.com/article/10.1007/s00211-019-01031-z	Supports spectral-Galerkin error analysis for one-dimensional uniformly expanding Markov maps; transfer to open-billiard flow requires a legal comparison map.
P30-S22	VERIFIED	EXACT_OFFICIAL_2010_ISSUE_YEAR_2009_EPUB	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	METHOD_FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://www.ams.org/mcom/2010-79-270/S0025-5718-09-02280-7/	Numerical evaluation and error analysis only for eligible trace-class integral-operator Fredholm determinants; cannot prove trace class, coefficient-map identity, or the four project errors.
P30-S23	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://www.mathnet.ru/eng/im2373	Supports periodic-data cohomology obstruction in stated hyperbolic and symbolic systems; finite agreement cannot prove global cohomology.
P30-S24	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://annals.math.princeton.edu/1986/123-3/p03	Supports regularity and perturbative Livsic foundations; does not replace all-periodic-sum hypotheses with finite or shuffled agreement.
P30-S25	VERIFIED	EXACT	VI	C	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	FOUNDATIONAL_EXEMPT_WITHIN_STATED_SCOPE	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://annals.math.princeton.edu/2011/173-2/p11	Supports matrix-cocycle Livsic context; stronger than the scalar roof need and supplies no exact three-disk or project-specific nontransfer result.
P30-S26	VERIFIED	EXACT_OFFICIAL_2026_ISSUE_YEAR_2025_ONLINE_FIRST	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_RED_FLAG_OBSERVED	CURRENT_2021_2026	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://londmathsoc.onlinelibrary.wiley.com/doi/10.1112/blms.70258	Supports current abelian Livsic extensions for stated Anosov-flow hypotheses; not direct for the open three-disk repeller or a finite-cutoff positive conclusion.
