schema_version,row_id,row_family,case_kind,prime_token,generic_theorem_state,actual_topology_input,stabilizer_input,claim_token,subject_value,oracle_value,source_binding,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,FP-0011,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,C_STAR,CLAIM[C_STAR_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,C_STAR_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0012,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,HAAR,CLAIM[HAAR_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,HAAR_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0013,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,MEASURE,CLAIM[MEASURE_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,MEASURE_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0014,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,TRACE,CLAIM[TRACE_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,TRACE_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0015,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,DETERMINANT,CLAIM[DETERMINANT_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,DETERMINANT_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0016,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,ROUTE_B,CLAIM[ROUTE_B_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,ROUTE_B_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0017,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,PRIORITY,CLAIM[PRIORITY_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,PRIORITY_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0018,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,STANDARD_CIRCLE,(log 2)Z,FIXED_PRIME_SUBSTITUTION,CLAIM[STANDARD_TOPOLOGY_PROMOTION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,STANDARD_TOPOLOGY_PROMOTION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0019,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,NUMERICAL_LOG_2,FIXED_PRIME_SUBSTITUTION,CLAIM[NUMERICAL_LOG_EVALUATION],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,NUMERICAL_LOG_EVALUATION,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0020,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,NOT_PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,(log 2)Z,FIXED_PRIME_SUBSTITUTION,CLAIM[FIXED_PRIME_SUBSTITUTION_BEFORE_GENERIC],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,FIXED_PRIME_SUBSTITUTION_BEFORE_GENERIC,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
paper17-open-groupoid-controls/1,FP-0021,PROVENANCE_PROMOTION_ATTACK,NEGATIVE,2,PROVED_UPSTREAM_BEFORE_SUBSTITUTION,INDISCRETE_FROM_PAPER9,LOG_2_Z_EQUIVALENT_REWRITE,FIXED_PRIME_SUBSTITUTION,CLAIM[NONLITERAL_STABILIZER_REWRITE],REJECTED,papers/9-packet-separation/paper/manuscript.tex@sha256:24dfcc168c140c77cfe413f9ca3b7fe7f59d9927bd2c4343159c5139b1ce31bb,FIXED_PRIME_SUBSTITUTION_ONLY,true,NONLITERAL_STABILIZER_REWRITE,P9_TWO_INPUT_POST_GENERIC_ALLOWLIST,PASS
