source_id	authors_year	theme	existence_outcome	claim_fitness_grade	support_class	admissible_contribution	excluded_stronger_claim	compatibility_role	locator_or_verification_limit
P32-S14	Ruelle (1976)	T3 primitive-orbit products and finite-cover analytic context	VERIFIED	B	ruelle_zeta_background_only	Primitive-orbit dynamical-zeta context	Formal-to-scalar identification or chosen normalization	Foundational dynamical-product context	anchor:none; metadata and abstract scope only; project specialization not verified
P32-S15	Parry and Pollicott (1983)	T4 counting, tails, and order-of-limits obligations	VERIFIED	B	prime_orbit_asymptotics_only	Axiom-A prime-orbit asymptotics	Owner-content-uniform bound needed for limit interchange	Counting and tail candidate	anchor:none; metadata and abstract scope only; exact frozen uniformity not established
P32-S16	Brenner and Spinu (2009)	T3 primitive-orbit products and finite-cover analytic context	VERIFIED	B	finite_cover_zeta_factorization_only	Artin formalism for finite-index Selberg zeta functions	Coefficientwise owner recovery, frozen clock, or infinite homology-tower limit	Finite-cover factorization anchor	anchor:none; publisher text available but ownerwise renormalization mapping unverified
P32-S17	Giulietti, Liverani, and Pollicott (2013)	T3 primitive-orbit products and finite-cover analytic context	VERIFIED	B	meromorphic_continuation_unaffected_scope_only	Erratum-unaffected first-part meromorphic-continuation surface	Affected Section 7 spectral-gap or dependent counting consequences	Correction-bound analytic context	anchor:none; 2022 erratum binding mandatory; only unaffected scope admitted
P32-S18	Dyatlov and Zworski (2016)	T3 primitive-orbit products and finite-cover analytic context	VERIFIED	B	anosov_zeta_continuation_only	Independent microlocal meromorphic-continuation route	Homology-cover normalization or ownerwise equality	Modern analytic cross-check	anchor:none; publisher text available but project-specific mapping unverified
P32-S19	Lalley (1989)	T4 counting, tails, and order-of-limits obligations	VERIFIED	B	geodesic_tail_candidate_only	Renewal and geodesic-counting methods	Already-established absolute owner-stratified tail on every frozen compact	Quantitative tail candidate	anchor:none; metadata and abstract scope only; exact summand and uniformity unverified
P32-S20	Margulis (1969)	T4 counting, tails, and order-of-limits obligations	VERIFIED	C	prime_geodesic_growth_background_only	Foundational prime-geodesic growth context	Explicit summable compact-uniform tail or owner-content control	Historical counting background	anchor:none; short metadata and abstract scope; insufficient for exact bound extraction
P32-S21	Sharp (1993)	T4 counting, tails, and order-of-limits obligations	VERIFIED	B	homology_orbit_asymptotics_only	Homology-refined closed-orbit asymptotics	Canonical genus-two panel or simultaneous limit theorem	Stratified counting candidate	anchor:none; metadata and abstract scope only; owner and limit compatibility unverified
P32-S22	Pollicott and Sharp (1998)	T4 counting, tails, and order-of-limits obligations	VERIFIED	B	geodesic_error_term_candidate_only	Exponential error terms for negatively curved surface growth	Exact frozen sum, compact uniformity, or every declared limit order	Strong error-term candidate	anchor:none; metadata and abstract scope only; theorem-to-tail mapping not extracted
P32-S23	Neumann (1949)	T5 formal topology, Hahn support, and d=0 scalar boundary	VERIFIED	C	formal_hahn_background_only	Ordered-division-ring and well-ordered-support background	P32 support convention, comparison map, owner product, or normalization	Background-only formal precedent	anchor:none; publisher text available but no P32-specific formal mapping verified
P32-S24	Snellman (1998)	T5 formal topology, Hahn support, and d=0 scalar boundary	VERIFIED	C	inverse_limit_topology_background_only	Inverse-limit and countably-many-variable topology precedent	P32 directed system, localizations, scalar gate, or normalization	Background-only topology precedent	anchor:none; institutional thesis full text available but not claim-verified; non-peer-reviewed
P32-S25	Chiu, de Fernex, and Docampo (2022)	T5 formal topology, Hahn support, and d=0 scalar boundary	VERIFIED	C	adic_completion_background_only	Completed local-ring and countably-many-variable context	P32 owner product, scalar specialization, or normalization	Background-only completion analogy	anchor:none; unrelated geometric application; exact P32 topology not supported
P32-S26	NIST DLMF Project (2026)	T5 formal topology, Hahn support, and d=0 scalar boundary	VERIFIED	B	scalar_power_series_background_only	Elementary logarithmic and binomial expansions with domains	d=0 substitution, Hahn order, owner normalization, or project endpoint	Scalar subcalculation reference only	anchor:none; institutional page inspected; model-specific inference remains excluded
