source_id	authors_year	theme	existence_outcome	claim_fitness_grade	support_class	admissible_contribution	excluded_stronger_claim	compatibility_role	locator_or_verification_limit
S11	Despré et al. (2023)	domain_and_presentation_algorithms	VERIFIED	B	SURFACE_DOMAIN_ALGORITHM_PRIMARY	Terminating Dirichlet-domain construction from a hyperbolic fundamental polygon with side pairings.	No exact algebraic-number handling, rational-interval predicate, or conjugacy-certificate serialization for P33.	PARTIAL_P33_RC_1_COMPONENT_REAL_RAM_LIMITED	Official peer-reviewed proceedings full text; real-RAM model and algebraic-number exclusion remain material limits.
S12	Epstein and Holt (2006)	conjugacy_algorithms	S2_VERIFIED	B	FULL_GROUP_CONJUGACY_ALGORITHM_PRIMARY	General linear-time conjugacy decision in word-hyperbolic groups with a positive conjugator pathway.	No frozen-presentation constants, negative-certificate schema, byte-stable implementation, or independent P33 validator.	CENTRAL_BUT_INCOMPLETE_P33_RC_1_COMPONENT	S2 exact title/year; publisher abstract and metadata; corrected pages 287-305 are authoritative and the authorized Phase-2 correction remains bound.
S13	Lysenok (1990)	root_and_primitivity_algorithms	S2_VERIFIED	A	PRIMITIVE_ROOT_ALGORITHM_PRIMARY	Solvability of root extraction, element order, and cyclic-subgroup membership in hyperbolic groups.	No P33 maximal-root implementation, termination payload, or serialized no-root certificate.	CENTRAL_BUT_INCOMPLETE_P33_RC_1_COMPONENT	Official MathNet full text; corrected S2 audit-trail paper ID does not change the claim boundary.
S14	Cherubini et al. (2022)	owner_semantics	VERIFIED	C	PRIMITIVE_OWNER_SEMANTICS	Primitive closed-geodesic and primitive root-conjugacy semantics, including separation from repetitions.	No frozen owner computation, general inversion-pair canonicalizer, or P33 completeness result.	SEMANTIC_COMPATIBILITY_ONLY	Author preprint and DOI metadata; 2021 online versus 2022 issue year retained and arithmetic formula is outside scope.
S15	Erlandsson and Souto (2024)	owner_semantics	VERIFIED	B	RECIPROCAL_CLASS_SEMANTICS	Semantics for elements conjugate to inverses and the reciprocal-geodesic special case.	No external identification canonicalizer for every P33 pair {[g],[g^-1]} and no complete conjugacy test.	SPECIAL_CASE_SEMANTICS_NOT_GENERAL_OWNER_RULE	Author preprint and publisher metadata; reciprocal classes are a strict special case of the project convention.
S16	Strohmaier and Uski (2013)	verification_architecture	VERIFIED	C	RIGOROUS_COMPLETENESS_ARCHITECTURE	Architecture separating bounded numerical computation, error control, and interval completeness claims.	No geodesic-owner census, determinant authorization, or P33 output validation.	ARCHITECTURAL_ANALOGY_ONLY	Bind the 2018 correction DOI 10.1007/s00220-018-3094-z; use only unaffected or corrected statements.
S17	Johansson (2017)	verification_architecture	S2_VERIFIED	B	INTERVAL_ARITHMETIC_METHOD	Arbitrary-precision midpoint-radius arithmetic and explicit error radii for outward-enclosure layers.	No proof of conjugacy, primitivity, owner equivalence, or census completeness by itself.	NUMERICAL_PREDICATE_COMPONENT_ONLY	Author preprint and IEEE metadata; S2 year 2016 versus journal year 2017 is within the allowed window; library choice remains unmade.
S18	Rump (2010)	verification_architecture	VERIFIED	B	VALIDATED_NUMERICS_REVIEW	General principles for mathematically rigorous floating-point validation and proof-versus-decimal separation.	No Fuchsian conjugacy theorem, P33 owner certificate, or project-specific validator.	GENERAL_VALIDATION_METHOD_ONLY	Publisher extract and metadata only in the frozen corpus; no project-specific locator or implementation is licensed.
S19	Hoffman et al. (2016)	verification_architecture	VERIFIED	C	DOMAIN_ADJACENT_VALIDATION_PRECEDENT	Precedent for separating approximate candidates from interval-validated hyperbolic-geometry outputs.	No validation of closed genus-two P33 conjugacy classes or ready-made owner certificate.	DOMAIN_ADJACENT_ANALOGY_ONLY	Author preprint and metadata; object is cusped hyperbolic 3-manifolds, not the frozen surfaces.
S20	Hales et al. (2017)	verification_architecture	VERIFIED	C	INDEPENDENT_CHECKING_ARCHITECTURE	Precedent for deterministic artifacts and checking separated from production computation.	No requirement to use a proof assistant and no closure of P33-RC-1.	INDEPENDENT_CHECKING_ANALOGY_ONLY	Open publisher text and preprint; unrelated geometry limits it to architectural guidance.
