atom,gamma_code,code_length,formula_length,length_match,translation,derivative,expected_derivative,derivative_match,closed_disk_image_bound,common_compact_containment,global_prefix_free,inventory_tags,inventory_filter_stage,candidate_target_calls
88,0000001011000,13,13,True,-6527/16384,1/8192,1/8192,True,6529/16384,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
89,0000001011001,13,13,True,1665/16384,1/8192,1/8192,True,1667/16384,True,True,prime_evaluator|fibonacci_control|all_integer_control,post_freeze_evaluator,0
90,0000001011010,13,13,True,-2431/16384,1/8192,1/8192,True,2433/16384,True,True,all_integer_control,post_freeze_evaluator,0
91,0000001011011,13,13,True,5761/16384,1/8192,1/8192,True,5763/16384,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
92,0000001011100,13,13,True,-4479/16384,1/8192,1/8192,True,4481/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
93,0000001011101,13,13,True,3713/16384,1/8192,1/8192,True,3715/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
94,0000001011110,13,13,True,-383/16384,1/8192,1/8192,True,385/16384,True,True,all_integer_control,post_freeze_evaluator,0
95,0000001011111,13,13,True,7809/16384,1/8192,1/8192,True,7811/16384,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
96,0000001100000,13,13,True,-7807/16384,1/8192,1/8192,True,7809/16384,True,True,all_integer_control,post_freeze_evaluator,0
97,0000001100001,13,13,True,385/16384,1/8192,1/8192,True,387/16384,True,True,prime_evaluator|all_integer_control|matched_density_hash,post_freeze_evaluator,0
98,0000001100010,13,13,True,-3711/16384,1/8192,1/8192,True,3713/16384,True,True,all_integer_control,post_freeze_evaluator,0
99,0000001100011,13,13,True,4481/16384,1/8192,1/8192,True,4483/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
100,0000001100100,13,13,True,-5759/16384,1/8192,1/8192,True,5761/16384,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
101,0000001100101,13,13,True,2433/16384,1/8192,1/8192,True,2435/16384,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
102,0000001100110,13,13,True,-1663/16384,1/8192,1/8192,True,1665/16384,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
103,0000001100111,13,13,True,6529/16384,1/8192,1/8192,True,6531/16384,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
104,0000001101000,13,13,True,-6783/16384,1/8192,1/8192,True,6785/16384,True,True,all_integer_control,post_freeze_evaluator,0
105,0000001101001,13,13,True,1409/16384,1/8192,1/8192,True,1411/16384,True,True,all_integer_control,post_freeze_evaluator,0
106,0000001101010,13,13,True,-2687/16384,1/8192,1/8192,True,2689/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
107,0000001101011,13,13,True,5505/16384,1/8192,1/8192,True,5507/16384,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
108,0000001101100,13,13,True,-4735/16384,1/8192,1/8192,True,4737/16384,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
109,0000001101101,13,13,True,3457/16384,1/8192,1/8192,True,3459/16384,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
110,0000001101110,13,13,True,-639/16384,1/8192,1/8192,True,641/16384,True,True,all_integer_control,post_freeze_evaluator,0
111,0000001101111,13,13,True,7553/16384,1/8192,1/8192,True,7555/16384,True,True,all_integer_control,post_freeze_evaluator,0
112,0000001110000,13,13,True,-7295/16384,1/8192,1/8192,True,7297/16384,True,True,all_integer_control,post_freeze_evaluator,0
113,0000001110001,13,13,True,897/16384,1/8192,1/8192,True,899/16384,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
114,0000001110010,13,13,True,-3199/16384,1/8192,1/8192,True,3201/16384,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
115,0000001110011,13,13,True,4993/16384,1/8192,1/8192,True,4995/16384,True,True,all_integer_control,post_freeze_evaluator,0
116,0000001110100,13,13,True,-5247/16384,1/8192,1/8192,True,5249/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
117,0000001110101,13,13,True,2945/16384,1/8192,1/8192,True,2947/16384,True,True,all_integer_control,post_freeze_evaluator,0
118,0000001110110,13,13,True,-1151/16384,1/8192,1/8192,True,1153/16384,True,True,all_integer_control,post_freeze_evaluator,0
119,0000001110111,13,13,True,7041/16384,1/8192,1/8192,True,7043/16384,True,True,all_integer_control,post_freeze_evaluator,0
120,0000001111000,13,13,True,-6271/16384,1/8192,1/8192,True,6273/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
121,0000001111001,13,13,True,1921/16384,1/8192,1/8192,True,1923/16384,True,True,square_control|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
122,0000001111010,13,13,True,-2175/16384,1/8192,1/8192,True,2177/16384,True,True,all_integer_control,post_freeze_evaluator,0
123,0000001111011,13,13,True,6017/16384,1/8192,1/8192,True,6019/16384,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
124,0000001111100,13,13,True,-4223/16384,1/8192,1/8192,True,4225/16384,True,True,all_integer_control,post_freeze_evaluator,0
125,0000001111101,13,13,True,3969/16384,1/8192,1/8192,True,3971/16384,True,True,all_integer_control,post_freeze_evaluator,0
126,0000001111110,13,13,True,-127/16384,1/8192,1/8192,True,129/16384,True,True,all_integer_control,post_freeze_evaluator,0
127,0000001111111,13,13,True,8065/16384,1/8192,1/8192,True,8067/16384,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
128,000000010000000,15,15,True,-32511/65536,1/32768,1/32768,True,32513/65536,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
129,000000010000001,15,15,True,257/65536,1/32768,1/32768,True,259/65536,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
130,000000010000010,15,15,True,-16127/65536,1/32768,1/32768,True,16129/65536,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
131,000000010000011,15,15,True,16641/65536,1/32768,1/32768,True,16643/65536,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
132,000000010000100,15,15,True,-24319/65536,1/32768,1/32768,True,24321/65536,True,True,all_integer_control,post_freeze_evaluator,0
133,000000010000101,15,15,True,8449/65536,1/32768,1/32768,True,8451/65536,True,True,all_integer_control,post_freeze_evaluator,0
134,000000010000110,15,15,True,-7935/65536,1/32768,1/32768,True,7937/65536,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
135,000000010000111,15,15,True,24833/65536,1/32768,1/32768,True,24835/65536,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
136,000000010001000,15,15,True,-28415/65536,1/32768,1/32768,True,28417/65536,True,True,all_integer_control,post_freeze_evaluator,0
137,000000010001001,15,15,True,4353/65536,1/32768,1/32768,True,4355/65536,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
138,000000010001010,15,15,True,-12031/65536,1/32768,1/32768,True,12033/65536,True,True,all_integer_control,post_freeze_evaluator,0
139,000000010001011,15,15,True,20737/65536,1/32768,1/32768,True,20739/65536,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
140,000000010001100,15,15,True,-20223/65536,1/32768,1/32768,True,20225/65536,True,True,all_integer_control,post_freeze_evaluator,0
141,000000010001101,15,15,True,12545/65536,1/32768,1/32768,True,12547/65536,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
142,000000010001110,15,15,True,-3839/65536,1/32768,1/32768,True,3841/65536,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
143,000000010001111,15,15,True,28929/65536,1/32768,1/32768,True,28931/65536,True,True,all_integer_control,post_freeze_evaluator,0
144,000000010010000,15,15,True,-30463/65536,1/32768,1/32768,True,30465/65536,True,True,square_control|fibonacci_control|all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
145,000000010010001,15,15,True,2305/65536,1/32768,1/32768,True,2307/65536,True,True,all_integer_control,post_freeze_evaluator,0
146,000000010010010,15,15,True,-14079/65536,1/32768,1/32768,True,14081/65536,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
147,000000010010011,15,15,True,18689/65536,1/32768,1/32768,True,18691/65536,True,True,all_integer_control,post_freeze_evaluator,0
148,000000010010100,15,15,True,-22271/65536,1/32768,1/32768,True,22273/65536,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
149,000000010010101,15,15,True,10497/65536,1/32768,1/32768,True,10499/65536,True,True,prime_evaluator|all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
150,000000010010110,15,15,True,-5887/65536,1/32768,1/32768,True,5889/65536,True,True,all_integer_control,post_freeze_evaluator,0
151,000000010010111,15,15,True,26881/65536,1/32768,1/32768,True,26883/65536,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
152,000000010011000,15,15,True,-26367/65536,1/32768,1/32768,True,26369/65536,True,True,all_integer_control,post_freeze_evaluator,0
153,000000010011001,15,15,True,6401/65536,1/32768,1/32768,True,6403/65536,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
154,000000010011010,15,15,True,-9983/65536,1/32768,1/32768,True,9985/65536,True,True,all_integer_control,post_freeze_evaluator,0
155,000000010011011,15,15,True,22785/65536,1/32768,1/32768,True,22787/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
156,000000010011100,15,15,True,-18175/65536,1/32768,1/32768,True,18177/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
157,000000010011101,15,15,True,14593/65536,1/32768,1/32768,True,14595/65536,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
158,000000010011110,15,15,True,-1791/65536,1/32768,1/32768,True,1793/65536,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
159,000000010011111,15,15,True,30977/65536,1/32768,1/32768,True,30979/65536,True,True,all_integer_control,post_freeze_evaluator,0
160,000000010100000,15,15,True,-31487/65536,1/32768,1/32768,True,31489/65536,True,True,all_integer_control,post_freeze_evaluator,0
161,000000010100001,15,15,True,1281/65536,1/32768,1/32768,True,1283/65536,True,True,all_integer_control,post_freeze_evaluator,0
162,000000010100010,15,15,True,-15103/65536,1/32768,1/32768,True,15105/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
163,000000010100011,15,15,True,17665/65536,1/32768,1/32768,True,17667/65536,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
164,000000010100100,15,15,True,-23295/65536,1/32768,1/32768,True,23297/65536,True,True,all_integer_control,post_freeze_evaluator,0
165,000000010100101,15,15,True,9473/65536,1/32768,1/32768,True,9475/65536,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
166,000000010100110,15,15,True,-6911/65536,1/32768,1/32768,True,6913/65536,True,True,all_integer_control,post_freeze_evaluator,0
167,000000010100111,15,15,True,25857/65536,1/32768,1/32768,True,25859/65536,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
168,000000010101000,15,15,True,-27391/65536,1/32768,1/32768,True,27393/65536,True,True,all_integer_control|matched_density_seeded_random|matched_density_hash,post_freeze_evaluator,0
169,000000010101001,15,15,True,5377/65536,1/32768,1/32768,True,5379/65536,True,True,square_control|all_integer_control|matched_density_seeded_random|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
170,000000010101010,15,15,True,-11007/65536,1/32768,1/32768,True,11009/65536,True,True,all_integer_control|matched_density_seeded_random|arbitrary_decidable_modular,post_freeze_evaluator,0
171,000000010101011,15,15,True,21761/65536,1/32768,1/32768,True,21763/65536,True,True,all_integer_control,post_freeze_evaluator,0
172,000000010101100,15,15,True,-19199/65536,1/32768,1/32768,True,19201/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
173,000000010101101,15,15,True,13569/65536,1/32768,1/32768,True,13571/65536,True,True,prime_evaluator|all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
174,000000010101110,15,15,True,-2815/65536,1/32768,1/32768,True,2817/65536,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
175,000000010101111,15,15,True,29953/65536,1/32768,1/32768,True,29955/65536,True,True,all_integer_control|matched_density_hash,post_freeze_evaluator,0
176,000000010110000,15,15,True,-29439/65536,1/32768,1/32768,True,29441/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
177,000000010110001,15,15,True,3329/65536,1/32768,1/32768,True,3331/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
178,000000010110010,15,15,True,-13055/65536,1/32768,1/32768,True,13057/65536,True,True,all_integer_control,post_freeze_evaluator,0
179,000000010110011,15,15,True,19713/65536,1/32768,1/32768,True,19715/65536,True,True,prime_evaluator|all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
180,000000010110100,15,15,True,-21247/65536,1/32768,1/32768,True,21249/65536,True,True,all_integer_control,post_freeze_evaluator,0
181,000000010110101,15,15,True,11521/65536,1/32768,1/32768,True,11523/65536,True,True,prime_evaluator|all_integer_control,post_freeze_evaluator,0
182,000000010110110,15,15,True,-4863/65536,1/32768,1/32768,True,4865/65536,True,True,all_integer_control,post_freeze_evaluator,0
183,000000010110111,15,15,True,27905/65536,1/32768,1/32768,True,27907/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
184,000000010111000,15,15,True,-25343/65536,1/32768,1/32768,True,25345/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
185,000000010111001,15,15,True,7425/65536,1/32768,1/32768,True,7427/65536,True,True,all_integer_control,post_freeze_evaluator,0
186,000000010111010,15,15,True,-8959/65536,1/32768,1/32768,True,8961/65536,True,True,all_integer_control|matched_density_hash|arbitrary_decidable_modular,post_freeze_evaluator,0
187,000000010111011,15,15,True,23809/65536,1/32768,1/32768,True,23811/65536,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
188,000000010111100,15,15,True,-17151/65536,1/32768,1/32768,True,17153/65536,True,True,all_integer_control,post_freeze_evaluator,0
189,000000010111101,15,15,True,15617/65536,1/32768,1/32768,True,15619/65536,True,True,all_integer_control|matched_density_seeded_random,post_freeze_evaluator,0
190,000000010111110,15,15,True,-767/65536,1/32768,1/32768,True,769/65536,True,True,all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
191,000000010111111,15,15,True,32001/65536,1/32768,1/32768,True,32003/65536,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
192,000000011000000,15,15,True,-31999/65536,1/32768,1/32768,True,32001/65536,True,True,all_integer_control,post_freeze_evaluator,0
193,000000011000001,15,15,True,769/65536,1/32768,1/32768,True,771/65536,True,True,prime_evaluator|all_integer_control|arbitrary_decidable_modular,post_freeze_evaluator,0
