source_id	existence_outcome	metadata_match	evidence_level	claim_fitness_grade	venue_assessment	currency_assessment	coi_assessment	retraction_assessment	support_class	verified_locator	notes
P29-S11	VERIFIED	EXACT_WITH_OFFICIAL_DISPLAY_CONFLICT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://doi.org/10.2307/1971091	Can support general effective decision procedures for arithmetic groups; cannot support a concrete terminating Paper-29 quotient or certificate serialization. Inventory title Some agrees with JSTOR DOI and author record; current Annals page displays Strong.
P29-S12	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://doi.org/10.1016/j.top.2005.06.002	Can support algorithmic conjugacy in oriented geometrizable 3-manifold groups; cannot supply an unproved reduction to level-(3) Bianchi matrix conjugacy or canonical owner IDs.
P29-S13	VERIFIED	EXACT_WITH_SECONDARY_PAGE_RANGE_CONFLICT	VI	C	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://doi.org/10.1142/S0218196706002986	Can support complexity-aware conjugacy algorithms under word-hyperbolic hypotheses; cannot treat the nonuniform Picard lattice as satisfying those hypotheses without proof. Inventory 287-305 agrees with publisher and author/institutional records; some DBLP metadata says 287-306.
P29-S14	VERIFIED	EXACT	VI	C	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://doi.org/10.1112/jlms.12246	Can support constructive integral-matrix conjugacy and conjugator witnesses in GL(n,Z); cannot equate that relation with level-(3) PSL_2(Z[i]) conjugacy.
P29-S15	VERIFIED	EXACT	VI	C	ESTABLISHED_ACADEMIC_BOOK_SERIES_PEER_REVIEW_NOT_ASSERTED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://doi.org/10.1016/S0049-237X(08)71335-1	Can support primary arithmetic-group conjugacy methodology; cannot supply peer-reviewed-journal weight, exact Picard applicability, or primitive-root closure.
P29-S16	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://doi.org/10.1016/0001-8708(71)90027-2	Can support presentations for relevant special linear/Bianchi-group cases and a word/matrix interface basis; cannot support conjugacy, primitivity, inversion invariance, or ideal-owner selection alone.
P29-S17	VERIFIED	EXACT	VI	A	ESTABLISHED_ACADEMIC_PUBLISHER_MONOGRAPH_PEER_REVIEW_NOT_ASSERTED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://doi.org/10.1007/978-1-4757-6720-9	Can support authoritative arithmetic-Kleinian, trace-field, and hyperbolic-3 background; cannot support a registered direct owner formula or executable quotient certificate.
P29-S18	VERIFIED	EXACT	VI	A	ESTABLISHED_ACADEMIC_PUBLISHER_MONOGRAPH_PEER_REVIEW_NOT_ASSERTED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	BACKGROUND_ONLY	https://doi.org/10.1007/978-3-662-03626-6	Can support authoritative Bianchi/Picard action and imaginary-quadratic arithmetic definitions; cannot prove that a Gaussian ideal owner refines finite collisions.
P29-S19	VERIFIED	EXACT	VI	A	ESTABLISHED_ACADEMIC_PUBLISHER_MONOGRAPH_PEER_REVIEW_NOT_ASSERTED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://doi.org/10.1007/978-3-662-02945-9	Can support exact computational number-field and ideal factorization/splitting procedures; cannot select which class invariant owns one literal split prime ideal.
P29-S20	VERIFIED	EXACT	VI	B	ESTABLISHED_PEER_REVIEWED_EXPOSITORY_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	ADJACENT_METHOD	https://doi.org/10.1090/S0273-0979-1992-00284-7	Can support effective algebraic-number-theory problem and certificate context; cannot support candidate-map invariance, split-branch choice, or owner performance.
P29-S21	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	FOUNDATIONAL_OR_HISTORICAL_EXEMPT_FOR_STATED_CLAIM	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://doi.org/10.5802/jtnb.433	Can support practical number-field and ideal-arithmetic algorithms with implementation context; cannot support a source-defined primitive conjugacy-class owner mechanism.
P29-S22	VERIFIED	EXACT	VI	A	ESTABLISHED_PEER_REVIEWED_JOURNAL_NO_PREDATORY_RED_FLAGS_OBSERVED	CURRENT_2021_2026	UNKNOWN_NOT_AUDITED	NOT_CHECKED	DIRECT_PREREQUISITE	https://doi.org/10.1090/mcom/3913	Can support maximal-power detection and a witness ideal for an integral ideal; cannot support loxodromic group-element root detection, conjugacy closure, or owner selection. Second-checked on Denis Simon author/CNRS record.
